"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID","Species_group","Admitted_date"
"3809","2/19/1996","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","955_ANHU","Non-Selasphorus",1996-02-19
"3810","3/30/2014","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",1,"Spring","found on the ground","Selasphorus spp.","6075_ALHU","Selasphorus",2014-03-30
"3811","11/2/2016","Died","Lindsey","No","ANHU","Male","adult-like",0,"Fall","caught by domestic animal","Non-selasphorus spp.","5727_ANHU","Non-Selasphorus",2016-11-02
"3812","5/26/2016","Released","Santa Barbara","No","ANHU","Female-like ","adult-like",2,"Spring","unknown","Non-selasphorus spp.","6880_ANHU","Non-Selasphorus",2016-05-26
"3813","8/28/1995","Released","Lindsey","Yes","Selasphorus","Female-like ","adult-like",1,"Summer","found on the ground","Selasphorus spp.","918_ALHU","Selasphorus",1995-08-28
"3814","11/25/2013","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Fall","window hit","Non-selasphorus spp.","4833_ANHU","Non-Selasphorus",2013-11-25
"3815","1/10/2015","Died","malibu","No","ANHU","Female-like ","adult-like",0,"Winter","nest-related","Non-selasphorus spp.","6340_ANHU","Non-Selasphorus",2015-01-10
"3816","4/21/2013","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","4699_ANHU","Non-Selasphorus",2013-04-21
"3817","7/9/2015","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","6478_ALHU","Selasphorus",2015-07-09
"3818","3/28/2005","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","2829_ANHU","Non-Selasphorus",2005-03-28
"3819","5/30/2011","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","4229_ANHU","Selasphorus",2011-05-30
"3820","5/15/2012","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4471_ANHU","Non-Selasphorus",2012-05-15
"3821","5/7/2016","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",4,"Spring","found on the ground","Non-selasphorus spp.","5598_ANHU","Non-Selasphorus",2016-05-07
"3822","3/20/1996","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","caught by domestic animal","Non-selasphorus spp.","987_ANHU","Non-Selasphorus",1996-03-20
"3823","7/15/2016","Died","Santa Barbara","Yes","ANHU","Female-like ","adult-like",3,"Summer","nest-related","Non-selasphorus spp.","6904_ANHU","Non-Selasphorus",2016-07-15
"3824","6/23/1999","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",2,"Summer","found inside","Selasphorus spp.","1669_ALHU","Selasphorus",1999-06-23
"3825","5/24/2014","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","6230_ALHU","Selasphorus",2014-05-24
"3826","4/17/1999","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1597_ANHU","Non-Selasphorus",1999-04-17
"3827","1/11/1999","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Winter","suspect torpor-like state","Non-selasphorus spp.","1526_ANHU","Non-Selasphorus",1999-01-11
"3828","10/28/1998","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","1513_ANHU","Non-Selasphorus",1998-10-28
"3829","4/2/2016","Released","malibu","No","ANHU","Female-like ","adult-like",-44,"Spring","nest-related","Non-selasphorus spp.","6712_ANHU","Non-Selasphorus",2016-04-02
"3830","12/23/2007","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Winter","suspect torpor-like state","Non-selasphorus spp.","3394_ANHU","Non-Selasphorus",2007-12-23
"3831","3/12/2016","Died","Santa Barbara","No","ANHU","Male","adult-like",0,"Spring","unknown","Non-selasphorus spp.","6851_ANHU","Non-Selasphorus",2016-03-12
"3832","6/4/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","unknown","Non-selasphorus spp.","118_ANHU","Selasphorus",1991-06-04
"3833","5/22/1992","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","285_ANHU","Non-Selasphorus",1992-05-22
"3834","4/12/2016","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","found on the ground","Non-selasphorus spp.","5576_ANHU","Selasphorus",2016-04-12
"3835","3/11/1991","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","28_ANHU","Selasphorus",1991-03-11
"3836","7/20/2000","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Summer","caught by domestic animal","Non-selasphorus spp.","1894_ANHU","Non-Selasphorus",2000-07-20
"3837","9/12/1997","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","1307_ANHU","Non-Selasphorus",1997-09-12
"3838","4/14/2014","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","6095_ALHU","Selasphorus",2014-04-14
